Time,Open,High,Low,Close
2018-01-01 17:00,1.20037,1.20100,1.20037,1.20100
2018-01-01 17:01,1.20083,1.20095,1.20017,1.20030
2018-01-01 17:02,1.20035,1.20043,1.20035,1.20043
2018-01-01 17:03,1.20041,1.20050,1.20031,1.20046
2018-01-01 17:04,1.20049,1.20049,1.20046,1.20048
2018-01-01 17:05,1.20050,1.20050,1.20048,1.20048
2018-01-01 17:06,1.20050,1.20069,1.20032,1.20048
2018-01-01 17:07,1.20048,1.20054,1.20027,1.20050
2018-01-01 17:08,1.20051,1.20087,1.20047,1.20087
2018-01-01 17:09,1.20082,1.20097,1.20076,1.20094
2018-01-01 17:10,1.20094,1.20095,1.20076,1.20077
2018-01-01 17:11,1.20084,1.20088,1.20084,1.20088
2018-01-01 17:12,1.20088,1.20088,1.20079,1.20079
2018-01-01 17:13,1.20080,1.20080,1.20080,1.20080
2018-01-01 17:14,1.20077,1.20093,1.20077,1.20093
2018-01-01 17:15,1.20092,1.20105,1.20036,1.20036
2018-01-01 17:16,1.20038,1.20038,1.20038,1.20038
2018-01-01 17:17,1.20039,1.20039,1.20038,1.20038
2018-01-01 17:18,1.20042,1.20045,1.20040,1.20045
2018-01-01 17:19,1.20041,1.20050,1.20041,1.20050
2018-01-01 17:20,1.20053,1.20053,1.20044,1.20045
2018-01-01 17:22,1.20045,1.20045,1.20045,1.20045
2018-01-01 17:23,1.20045,1.20055,1.20045,1.20055
2018-01-01 17:24,1.20055,1.20055,1.20048,1.20048
2018-01-01 17:25,1.20045,1.20045,1.20045,1.20045
2018-01-01 17:26,1.20051,1.20051,1.20051,1.20051
2018-01-01 17:27,1.20044,1.20053,1.20042,1.20051
2018-01-01 17:28,1.20042,1.20042,1.20042,1.20042
2018-01-01 17:29,1.20064,1.20065,1.20064,1.20065
2018-01-01 17:30,1.20064,1.20080,1.20063,1.20077
2018-01-01 17:31,1.20068,1.20070,1.20068,1.20070
2018-01-01 17:32,1.20087,1.20087,1.20070,1.20087
2018-01-01 17:33,1.20076,1.20076,1.20076,1.20076
2018-01-01 17:34,1.20070,1.20086,1.20070,1.20086
2018-01-01 17:35,1.20088,1.20129,1.20088,1.20129
2018-01-01 17:36,1.20123,1.20164,1.20123,1.20133
2018-01-01 17:37,1.20129,1.20131,1.20129,1.20131
2018-01-01 17:38,1.20129,1.20129,1.20129,1.20129
